Network,Matrix,Algorithm,Order,Allocated,Blocked,BP(%),HighestFSU,TotalFSU,AvgHops,Cost,RSS,NoC
G17,M1,Benchmark,Asc,241,0,0.0,182,1749,2.81,813.9,5289.4,225
G17,M1,Benchmark,Desc,241,0,0.0,185,1749,2.81,813.9,5345.5,214
G17,M1,Custom(NoC-aware Best-Fit),Asc,241,0,0.0,319,1519,2.72,759.6,5984.5,193
G17,M1,Custom(NoC-aware Best-Fit),Desc,241,0,0.0,319,1564,2.73,772.0,5962.8,172
G17,M1,1+1 Protection (First-Fit),Asc,241,0,0.0,284,3727,3.53,1430.8,2388.4,546
G17,M1,1+1 Protection (First-Fit),Desc,241,0,0.0,275,3727,3.53,1430.8,2425.4,530
G17,M2,Benchmark,Asc,272,0,0.0,215,2034,2.9,924.0,4746.8,273
G17,M2,Benchmark,Desc,272,0,0.0,218,2034,2.9,924.0,4725.7,261
G17,M2,Custom(NoC-aware Best-Fit),Asc,272,0,0.0,319,1837,2.84,878.7,5450.4,222
G17,M2,Custom(NoC-aware Best-Fit),Desc,272,0,0.0,319,1815,2.83,873.6,5528.6,194
G17,M2,1+1 Protection (First-Fit),Asc,245,27,9.93,317,4422,3.68,1628.5,1770.4,578
G17,M2,1+1 Protection (First-Fit),Desc,230,42,15.44,317,4498,3.76,1620.3,1803.1,527
G17,M3,Benchmark,Asc,272,0,0.0,230,2193,3.01,972.0,4536.2,293
G17,M3,Benchmark,Desc,272,0,0.0,233,2193,3.01,972.0,4582.0,245
G17,M3,Custom(NoC-aware Best-Fit),Asc,272,0,0.0,319,2082,2.98,957.9,5146.1,211
G17,M3,Custom(NoC-aware Best-Fit),Desc,272,0,0.0,319,2092,3.0,953.4,5049.7,200
G17,M3,1+1 Protection (First-Fit),Asc,224,48,17.65,317,4795,3.75,1738.2,1534.7,546
G17,M3,1+1 Protection (First-Fit),Desc,194,78,28.68,317,4810,3.78,1713.0,1671.3,464
G17,M4,Benchmark,Asc,272,0,0.0,305,2892,3.06,1264.0,3831.5,269
G17,M4,Benchmark,Desc,272,0,0.0,305,2892,3.06,1264.0,3596.4,292
G17,M4,Custom(NoC-aware Best-Fit),Asc,272,0,0.0,319,2799,3.05,1263.9,4285.8,214
G17,M4,Custom(NoC-aware Best-Fit),Desc,272,0,0.0,319,2785,3.06,1259.6,3911.0,217
